Group,Participant F,Participant p,Participant sig,Site F,Site p,Site sig,Dominant
Vegetation,1.342251015738648,0.06099792673167272,ns,179.24107511137765,0.0,***,Site
Built,1.1674061634622541,0.20407703521635248,ns,190.8015933830836,0.0,***,Site
Water,1.4737808043989604,0.020322067604335536,*,143.26913987831344,0.0,***,Site
Sky,22.220995202266398,2.9857471220418747e-151,***,9.968735640323986,5.443675846786013e-34,***,Participant
Natural,2.2689364319086267,2.3888324140056835e-06,***,32.25655878667232,1.5634054888516692e-121,***,Site
Amenity,1.9018781726368166,0.00023645184105948206,***,54.63615432356176,1.0519401811600397e-197,***,Site
