Cluster,Size,Aquatic plants,Artificial water features,Buildings,Economic crops,Flower beds / trellises,Flowers / ornamental grass,Herbaceous plants,Landscape bridges,Landscape seating / recreational facilities,Landscape stones,Landscape walls,Mountains,Other elements,Parking lots / vehicles,Paved surfaces / plazas,Pavilions / corridors,Roads,Sculptures / landmarks,Shrubs,Sky,Tall trees,Water bodies,Avg Dwell (ms),Avg Entropy
Cluster 1,26,3.95,0.96,10.15,2.82,0.72,4.04,12.43,0.18,1.98,0.33,0.47,1.09,2.57,0.83,5.27,0.76,6.76,1.35,7.09,1.87,28.57,5.81,19032.5,2.081
Cluster 2,22,2.86,0.3,14.49,2.03,0.54,2.82,7.65,0.19,1.07,0.25,0.42,2.59,1.81,0.55,2.98,0.67,3.63,1.01,4.85,6.72,39.13,3.45,18549.3,2.007
